Job_Name,Company_Name,Location,Published_Time,exp_level,exp_years,Job_Type
Technical Office Engineer,Floortec,"6th of October, Giza, Egypt",13 minutes ago,Experienced,4 - 7 Yrs of Exp,Full Time
Senior Java Developer,Egabi FSI,"Sheraton, Cairo, Egypt",14 minutes ago,Experienced,5+ Yrs of Exp,Full Time
Mechanical Technical Office Engineer,Elaraby Group,"Cairo, Egypt",15 minutes ago,Entry Level,1 - 2 Yrs of Exp,Full Time
VOIS - UK account - Customer Service Representative - Work From Home,_VOIS Egypt,"Cairo, Egypt",15 minutes ago,Entry Level,Customer Service/Support,Full Time
Structural Shop Drawing Engineer,Max Egypt,"Maadi, Cairo, Egypt",16 minutes ago,Experienced,1 - 3 Yrs of Exp,Full Time
Mechanical Technical Office Engineer,Max Egypt,"Maadi, Cairo, Egypt",16 minutes ago,Experienced,2 - 4 Yrs of Exp,Full Time
Warehouse Coordinator,Confidential,"6th of October, Giza, Egypt",20 minutes ago,Experienced,2 - 4 Yrs of Exp,Full Time
Compliance Manager,Aman,"6th of October, Giza, Egypt",25 minutes ago,Experienced,9 - 11 Yrs of Exp,Full Time
Public Relations Executive,Cardiff Modern School,"Badr City, Cairo, Egypt",35 minutes ago,Experienced,1 - 3 Yrs of Exp,Full Time
Business Planning Analyst,Amreyah Cement,"Heliopolis, Cairo, Egypt",42 minutes ago,Experienced,2 - 6 Yrs of Exp,Full Time
Engineer,zarad plast,"New Cairo, Cairo, Egypt",47 minutes ago,Experienced,2 - 5 Yrs of Exp,Full Time
Junior Web Developer (Back-End) - Alexandria,Arabic Localizer,"San Stefano, Alexandria, Egypt",51 minutes ago,Entry Level,0 - 3 Yrs of Exp,Full Time
Digital Marketing Manager,Yasser Abdallah Developments,"New Cairo, Cairo, Egypt",1 hour ago,Manager,3 - 10 Yrs of Exp,Full Time
IT Administrator,Decorama,"Cairo, Egypt",1 hour ago,Experienced,5+ Yrs of Exp,Full Time
Quality Assurance Section Head,Altawakol for Steel Fabrication & Galvanization,"10th of Ramadan City, Sharqia, Egypt",2 hours ago,Experienced,3+ Yrs of Exp,Full Time
Senior Quantity Engineer,Elaraby Group,"Cairo, Egypt",2 hours ago,Experienced,4 - 7 Yrs of Exp,Full Time
Administrative Assistant,Vetution,"Cairo, Egypt",2 hours ago,Experienced,1 - 5 Yrs of Exp,Full Time
Senior Architectural Engineer,Elaraby Group,"Cairo, Egypt",2 hours ago,Experienced,4 - 7 Yrs of Exp,Full Time
Senior Business Analyst,Confidential,"Hanoi, Vietnam",2 hours ago,Experienced,1 - 3 Yrs of Exp,Full Time
Senior Accountant (E-Commerce),alfanar,"Heliopolis, Cairo, Egypt",2 hours ago,Experienced,3 - 7 Yrs of Exp,Full Time
Senior Treasury Accountant (Corporate Banking),alfanar,"Heliopolis, Cairo, Egypt",2 hours ago,Experienced,5 - 12 Yrs of Exp,Full Time
AI Engineer,Anspire Agency,"New Cairo, Cairo, Egypt",6 hours ago,Experienced,2 - 3 Yrs of Exp,Full Time
Customer service,Etisalat Egypt,"Maadi, Cairo, Egypt",12 hours ago,Entry Level,1 - 2 Yrs of Exp,Full Time
Senior Document Controller,GTCI Constructors ,"Heliopolis, Cairo, Egypt",12 hours ago,Experienced,4 - 6 Yrs of Exp,Full Time
Senior Civil Proposals & Tendering Engineer,GTCI Constructors ,"Heliopolis, Cairo, Egypt",12 hours ago,Experienced,5 - 8 Yrs of Exp,Full Time
Human Resources Generalist,Ida-Egypt,"Maadi, Cairo, Egypt",14 hours ago,Experienced,4 - 7 Yrs of Exp,Full Time
Odoo implementer,Sharp 4 IT,"Mokattam, Cairo, Egypt",14 hours ago,Experienced,2 - 5 Yrs of Exp,Full Time
Quality engineer FMCG,Confidential,"10th of Ramadan City, Sharqia, Egypt",14 hours ago,Experienced,2 - 5 Yrs of Exp,Full Time
International Account Advisor - (Work From Home),Confidential,"Smart Village, Giza, Egypt",15 hours ago,Entry Level,0 - 3 Yrs of Exp,Full Time
